"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 11 14:24:56 IST 2024","Mon Mar 11 14:24:58 IST 2024","2136","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","SocialmediaLink","SocialmediaLink","this test verifies whether socialmedialinks directs to corresponding pages"
"passed","Wed Jun 12 09:57:06 IST 2024","Wed Jun 12 09:57:16 IST 2024","9871","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","editBranches","editBranches",""
"passed","Wed Jun 12 09:57:26 IST 2024","Wed Jun 12 09:57:36 IST 2024","10347","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","loginScenarios","loginScenarios",""
"passed","Thu Jun 20 12:03:02 IST 2024","Thu Jun 20 12:03:02 IST 2024","664","Suite","Test","ddclabs.DDC","ddclabs.DDC","Careers","Careers",""
"passed","Wed Jun 12 09:54:44 IST 2024","Wed Jun 12 09:54:49 IST 2024","4917","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","AddDepartments","AddDepartments",""
"broken","Mon Mar 11 14:24:59 IST 2024","Mon Mar 11 14:25:02 IST 2024","2069","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","careers","careers","this test verifies whether user is able to apply to job vacancies"
"passed","Mon Mar 11 14:22:32 IST 2024","Mon Mar 11 14:22:32 IST 2024","11","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","URLverification","URLverification","This test verifies whether the user is directed to right URL or not"
"broken","Mon Mar 11 14:24:24 IST 2024","Mon Mar 11 14:24:56 IST 2024","32233","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","book","book","this test verifies user is able to book packages"
"passed","Wed Jun 12 09:56:51 IST 2024","Wed Jun 12 09:57:06 IST 2024","14221","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","directors","directors",""
"broken","Mon Mar 04 10:09:48 IST 2024","Mon Mar 04 10:09:48 IST 2024","11","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","phonenumberAndemailvalidation","phonenumberAndemailvalidation","this test verifies phoneno&email are given proper validations"
"passed","Mon Mar 11 14:23:55 IST 2024","Mon Mar 11 14:24:10 IST 2024","15199","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","services","services","this test verifies user is able to book provided services"
"broken","Wed Jun 12 09:56:32 IST 2024","Wed Jun 12 09:56:42 IST 2024","10393","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","PageContentEdit","PageContentEdit",""
"passed","Wed Jun 12 09:57:16 IST 2024","Wed Jun 12 09:57:26 IST 2024","10370","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","loginScenarios","loginScenarios",""
"passed","Wed Jun 12 09:55:30 IST 2024","Wed Jun 12 09:55:35 IST 2024","5472","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","DoctorsEdit","DoctorsEdit",""
"passed","Wed Jun 12 09:54:49 IST 2024","Wed Jun 12 09:54:52 IST 2024","2867","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","AddPackages","AddPackages",""
"passed","Thu Oct 05 14:53:02 IST 2023","Thu Oct 05 14:53:02 IST 2023","386","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","Services","Services",""
"passed","Fri Oct 13 17:41:59 IST 2023","Fri Oct 13 17:42:02 IST 2023","2891","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","phonenumbervalidation","phonenumbervalidation",""
