"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 19 10:33:45 IST 2023","Thu Oct 19 10:33:46 IST 2023","2","Default suite","Default test","ddcparallel.Edge","ddcparallel.Edge","setUp","setUp",""
"broken","Fri Jun 28 13:31:24 IST 2024","Fri Jun 28 13:31:26 IST 2024","2023","Suite","Test","ddcparallel.Firefox","ddcparallel.Firefox","PopularPackages","PopularPackages",""
"broken","Fri Jun 28 13:30:56 IST 2024","Fri Jun 28 13:31:18 IST 2024","22224","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","GetAnAppointment","GetAnAppointment",""
"broken","Fri Jun 28 10:31:51 IST 2024","Fri Jun 28 10:31:51 IST 2024","0","Default suite","Default test","ddcparallel.Chrome","ddcparallel.Chrome","tearDown","tearDown",""
"broken","Fri Jun 28 13:30:52 IST 2024","Fri Jun 28 13:30:53 IST 2024","1094","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","services","services",""
"broken","Fri Jun 28 15:58:23 IST 2024","Fri Jun 28 15:58:40 IST 2024","17135","Default suite","Default test","ddcparallel.Edge","ddcparallel.Edge","PopularPackages","PopularPackages",""
"broken","Fri Jun 28 16:00:24 IST 2024","Fri Jun 28 16:00:25 IST 2024","1119","Default suite","Default test","ddcparallel.Edge","ddcparallel.Edge","contactUs","contactUs",""
"passed","Fri Jun 28 13:30:53 IST 2024","Fri Jun 28 13:30:53 IST 2024","5","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","URLverification","URLverification",""
"broken","Thu Jun 27 17:12:04 IST 2024","Thu Jun 27 17:12:08 IST 2024","3105","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","Promotions","Promotions",""
"broken","Fri Jun 28 13:28:51 IST 2024","Fri Jun 28 13:29:37 IST 2024","45731","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","ABOUT","ABOUT",""
"broken","Fri Jun 28 13:30:02 IST 2024","Fri Jun 28 13:30:19 IST 2024","17167","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","PopularPackages","PopularPackages",""
"broken","Fri Jun 28 12:55:27 IST 2024","Fri Jun 28 12:55:28 IST 2024","1054","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","contactUs","contactUs",""
"broken","Fri Jun 28 13:30:31 IST 2024","Fri Jun 28 13:30:52 IST 2024","20229","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","phonenumberAndemailvalidation","phonenumberAndemailvalidation",""
"broken","Fri Jun 28 13:31:26 IST 2024","Fri Jun 28 13:31:28 IST 2024","2015","Suite","Test","ddcparallel.Firefox","ddcparallel.Firefox","BookNow","BookNow",""
"passed","Fri Jun 28 16:00:10 IST 2024","Fri Jun 28 16:00:24 IST 2024","14207","Default suite","Default test","ddcparallel.Edge","ddcparallel.Edge","gallery","gallery",""
"broken","Fri Jun 28 11:59:18 IST 2024","Fri Jun 28 11:59:18 IST 2024","3","Default suite","Default test","ddcparallel.Edge","ddcparallel.Edge","tearDown","tearDown",""
"passed","Fri Jun 28 15:59:50 IST 2024","Fri Jun 28 16:00:10 IST 2024","19802","Default suite","Default test","ddcparallel.Edge","ddcparallel.Edge","services","services",""
"broken","Thu Jun 27 17:12:05 IST 2024","Thu Jun 27 17:12:08 IST 2024","3106","Suite","Test","ddcparallel.Edge","ddcparallel.Edge","Promotions","Promotions",""
