"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 07 10:18:02 IST 2023","Mon Aug 07 10:18:19 IST 2023","17295","Default suite","Default test","mamotest.Mamografia","mamotest.Mamografia","CCAvenue","CCAvenue",""
"broken","Tue Sep 12 10:58:39 IST 2023","Tue Sep 12 10:58:52 IST 2023","12979","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","clientdetails","clientdetails",""
"broken","Thu Aug 03 10:52:24 IST 2023","Thu Aug 03 10:52:40 IST 2023","16493","Default suite","Default test","mamotest.Mamografia","mamotest.Mamografia","logo","logo",""
"broken","Thu Aug 17 14:40:29 IST 2023","Thu Aug 17 14:41:00 IST 2023","30748","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","RolesAdd","RolesAdd",""
"broken","Thu Aug 03 09:08:32 IST 2023","Thu Aug 03 09:08:44 IST 2023","12155","Default suite","Default test","mamotest.Mamografia","mamotest.Mamografia","Pageconfirmation","Pageconfirmation",""
"passed","Tue Sep 12 12:23:40 IST 2023","Tue Sep 12 12:23:58 IST 2023","18058","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","multipleclients","multipleclients",""
"passed","Thu Aug 03 10:47:07 IST 2023","Thu Aug 03 10:47:26 IST 2023","18696","Default suite","Default test","mamotest.Mamografia","mamotest.Mamografia","companylinks","companylinks",""
"passed","Thu Jul 20 09:40:03 IST 2023","Thu Jul 20 09:40:12 IST 2023","8772","Default suite","Default test","mamotest.Admin","mamotest.Admin","AdminLogin","AdminLogin",""
"passed","Mon Sep 11 10:03:58 IST 2023","Mon Sep 11 10:04:05 IST 2023","7203","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","countryAdd","countryAdd",""
"passed","Thu Aug 03 09:14:35 IST 2023","Thu Aug 03 09:14:44 IST 2023","8961","Default suite","Default test","mamotest.Mamografia","mamotest.Mamografia","Blogpage","Blogpage",""
"broken","Fri Sep 08 13:48:23 IST 2023","Fri Sep 08 13:48:45 IST 2023","21203","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","USEREDIT","USEREDIT",""
"passed","Tue Sep 12 09:17:00 IST 2023","Tue Sep 12 09:17:08 IST 2023","7870","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","clientadd","clientadd",""
"broken","Mon Sep 11 16:46:31 IST 2023","Mon Sep 11 16:46:39 IST 2023","8134","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","Agentedit","Agentedit",""
"passed","Thu Aug 17 12:46:30 IST 2023","Thu Aug 17 12:47:09 IST 2023","38904","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","agentadd","agentadd",""
"broken","Tue Sep 12 12:49:00 IST 2023","Tue Sep 12 12:49:05 IST 2023","5768","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","packagedetailsview","packagedetailsview",""
"broken","Thu Aug 17 09:16:12 IST 2023","Thu Aug 17 09:16:12 IST 2023","2","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","setUp","setUp",""
"broken","Fri Jul 21 09:38:48 IST 2023","Fri Jul 21 09:39:01 IST 2023","13194","Default suite","Default test","mamotest.Admin","mamotest.Admin","UserEdit","UserEdit",""
"passed","Mon Sep 11 10:45:43 IST 2023","Mon Sep 11 10:46:00 IST 2023","17287","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","countryEdit","countryEdit",""
"failed","Tue Sep 12 16:29:00 IST 2023","Tue Sep 12 16:29:04 IST 2023","4688","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","Agentslogin","Agentslogin",""
"passed","Thu Aug 03 10:24:11 IST 2023","Thu Aug 03 10:24:20 IST 2023","9062","Default suite","Default test","mamotest.Mamografia","mamotest.Mamografia","enquiry","enquiry",""
"broken","Mon Aug 07 16:56:32 IST 2023","Mon Aug 07 16:56:53 IST 2023","21757","Default suite","Default test","mamotest.Mamografia","mamotest.Mamografia","subscribe","subscribe",""
"passed","Thu Aug 10 16:36:46 IST 2023","Thu Aug 10 16:37:08 IST 2023","22565","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","Roles","Roles",""
"passed","Thu Aug 17 12:49:52 IST 2023","Thu Aug 17 12:50:10 IST 2023","18734","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","addusers","addusers",""
"passed","Thu Aug 03 10:37:20 IST 2023","Thu Aug 03 10:37:34 IST 2023","13666","Default suite","Default test","mamotest.Mamografia","mamotest.Mamografia","getintouchpage","getintouchpage",""
"passed","Tue Sep 12 16:31:31 IST 2023","Tue Sep 12 16:31:38 IST 2023","6564","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","profile","profile",""
"passed","Mon Sep 11 12:34:17 IST 2023","Mon Sep 11 12:34:33 IST 2023","15585","Default suite","Default test","mamotest.AGENTLOGIN","mamotest.AGENTLOGIN","countryDelete","countryDelete",""
"passed","Thu Aug 03 09:57:57 IST 2023","Thu Aug 03 09:58:14 IST 2023","17105","Default suite","Default test","mamotest.Mamografia","mamotest.Mamografia","quicklinks","quicklinks",""
